RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date
5737,337590,AMERICAN WHITE,TORTOISE CREEK CHARD JAMS BLD - 750ML,750ML,756,16.99,,
5738,83390,AMERICAN RED,BONTERRA ZIN - 750ML,750ML,144,17.99,,
5739,42302,COGNAC,PIERRE FERRAND AMBRE COGNAC 750ML,750ML,0,61.99,,
5740,241222,NON-ALCOHOLIC MIXERS,CEDER'S CRISP ALT-GIN - 500ML,500ML,0,22.99,,
5741,54072,DOMESTIC GIN,AVIATION GIN - W/SCARF - 750ML,750ML,0,26.99,,
5742,346379,IMPORTED RUM,PLANTERAY OFTD OVERPROOF RUM 1L,1L,0,45.99,,
5743,80837,AMERICAN RED,FREI BROTHERS MER - 750ML,750ML,144,18.99,,
5744,337503,IMPORTED CORDIALS,BOL'S PUMPKIN LIQUEUR - 750ML,750ML,0,13.99,,
5745,346600,IMPORTED RUM,PLANTERAY XO 20TH ANNIVERSARY RUM 750ML,750ML,0,82.99,,
5746,128504,IRISH WHISKEY,JAMESON ORANGE - 750ML,750ML,216,33.99,,
5747,72213,ITALIAN RED WINE,CANTINA GABRIELE MONTEPULCIANO - 750ML,750ML,0,19.99,,
5748,54522,SESSION RTD,LUCKY ONE LEMONADE -  PEACH   - 6X4PK-355ML - CAN (4-Pack),4pk,1368,11.99,,
5749,251038,DOMESTIC LIQUOR SPECIALTY,YUKON JACK APPLE LIQUEUR - 50ML,50ML,10080,1.09,,
5750,97950,IMPORTED BOTTLE BEER,S SMITH WINTER WELCOME 12/18.7 - 18.7Z,18.7Z,0,6.43,,
5751,311089,IMPORTED CORDIALS,MELETTI AMARO - 750ML,750ML,0,24.99,,
5752,63541,AUSTRALIAN,PENFOLDS KOONUNGA HILL SHZ - 750ML,750ML,0,14.99,,
5753,248113,DOMESTIC VODKA,CLUTCH VODKA  - 1.75L,1.75L,0,39.99,,
5754,88873,COGNAC,GRAN GALA SELECT VS COGNAC - 750ML,750ML,0,23.99,,
5755,26565,SOUR MASH WHISKEY,JACK DANIELS BLACK - 750ML,750ML,0,25.99,,
5756,70011,DOMESTIC BRANDY,E&J BRANDY XO - 1.75L,1.75L,30,31.99,,
5757,11487,DOMESTIC VODKA FLAVORS,SVEDKA CLEMENTINE VODKA - 750ML,750ML,0,12.99,,
5758,89410,BLENDED WHISKEY,FIREBALL CINN WHISKY TAILGATE GAME DAY BAG 8/15PK - 50ML (15-Pack),15pk,0,16.35,,
5759,82013,SPARKLING,ST HILAIRE ROSE SPARKLING - 750ML,750ML,0,21.99,,
5760,241572,AMERICAN TABLE WINE,INTERCEPT P/NOIR - 750ML,750ML,0,19.99,,
5761,94560,DOMESTIC CAN BEER,DOGFISH HEAD FESTINA PECHE 4/6 CN - 12.0Z (6-Pack),6pk,0,13.99,,
5762,71245,STRAIGHT RYE WHISKEY,BULLEIT RYE WHISKEY - 750ML,750ML,0,28.99,,
5763,247472,MISCELLANEOUS IMPORTED WINE,MASSAYA CAP EST RED - 750ML,750ML,0,58.99,,
